"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 11, 2021","4,548.20","4,527.65","4,559.01","4,508.40","-","0.45%"
"Feb 10, 2021","4,527.65","4,542.72","4,558.82","4,490.95","-","-0.33%"
"Feb 09, 2021","4,542.72","4,487.09","4,543.43","4,478.50","-","1.24%"
"Feb 08, 2021","4,487.09","4,449.45","4,494.28","4,449.45","-","0.85%"
"Feb 05, 2021","4,449.45","4,412.00","4,460.33","4,411.67","-","0.85%"
"Feb 04, 2021","4,412.00","4,401.87","4,416.02","4,373.59","-","0.23%"
"Feb 03, 2021","4,401.87","4,416.95","4,438.86","4,400.39","-","-0.34%"
"Feb 02, 2021","4,416.95","4,381.01","4,453.04","4,381.01","-","0.82%"
"Feb 01, 2021","4,381.01","4,288.65","4,381.68","4,288.65","-","2.15%"
"Jan 29, 2021","4,288.65","4,410.80","4,420.61","4,288.65","-","-2.77%"
"Jan 28, 2021","4,410.80","4,417.99","4,426.97","4,353.99","-","-0.16%"
"Jan 27, 2021","4,417.99","4,497.74","4,497.74","4,395.55","-","-1.77%"
"Jan 26, 2021","4,497.74","4,488.93","4,533.54","4,457.27","-","0.20%"
"Jan 25, 2021","4,488.93","4,481.00","4,545.51","4,471.53","-","0.18%"
"Jan 22, 2021","4,481.00","4,579.27","4,579.27","4,481.00","-","-2.15%"
"Jan 21, 2021","4,579.27","4,637.84","4,669.61","4,579.27","-","-1.26%"
"Jan 20, 2021","4,637.84","4,669.74","4,697.16","4,631.56","-","-0.68%"
"Jan 19, 2021","4,669.74","4,624.11","4,691.67","4,624.11","-","0.99%"
"Jan 18, 2021","4,624.11","4,572.10","4,624.11","4,531.67","-","1.14%"
"Jan 15, 2021","4,572.10","4,640.84","4,641.04","4,571.97","-","-1.48%"
"Jan 14, 2021","4,640.84","4,658.71","4,675.73","4,609.03","-","-0.38%"
"Jan 13, 2021","4,658.71","4,600.12","4,658.71","4,600.12","-","1.27%"
"Jan 12, 2021","4,600.12","4,552.52","4,610.61","4,546.03","-","1.05%"
"Jan 11, 2021","4,552.52","4,560.02","4,560.02","4,497.32","-","-0.16%"
"Jan 08, 2021","4,560.02","4,528.85","4,568.77","4,491.60","-","0.69%"
"Jan 07, 2021","4,528.85","4,417.84","4,529.23","4,417.84","-","2.51%"
"Jan 06, 2021","4,417.84","4,367.18","4,438.32","4,366.00","-","1.16%"
"Jan 05, 2021","4,367.18","4,257.44","4,367.18","4,244.84","-","2.58%"
"Jan 04, 2021","4,257.44","4,177.22","4,273.95","4,177.22","-","1.92%"
"Dec 30, 2020","4,177.22","4,197.87","4,222.26","4,177.22","-","-0.49%"
"Dec 29, 2020","4,197.87","4,180.22","4,214.29","4,180.22","-","0.42%"
"Dec 28, 2020","4,180.22","4,133.35","4,192.13","4,133.35","-","1.13%"
"Dec 24, 2020","4,133.35","4,156.29","4,157.33","4,106.11","-","-0.55%"
"Dec 23, 2020","4,156.29","4,190.03","4,217.58","4,143.78","-","-0.81%"
"Dec 22, 2020","4,190.03","4,162.96","4,244.30","4,162.96","-","0.65%"
"Dec 21, 2020","4,162.96","4,210.69","4,210.69","4,114.76","-","-1.13%"
"Dec 18, 2020","4,210.69","4,199.33","4,251.72","4,199.33","-","0.27%"
"Dec 17, 2020","4,199.33","4,110.99","4,200.52","4,110.60","-","2.15%"
"Dec 16, 2020","4,110.99","4,061.66","4,111.42","4,061.66","-","1.21%"
"Dec 15, 2020","4,061.66","4,052.84","4,084.87","4,041.40","-","0.22%"
"Dec 14, 2020","4,052.84","4,085.89","4,127.62","4,052.46","-","-0.81%"
"Dec 11, 2020","4,085.89","4,106.42","4,123.23","4,054.65","-","-0.50%"
"Dec 10, 2020","4,106.42","4,148.70","4,181.90","4,106.37","-","-1.02%"
"Dec 09, 2020","4,148.70","4,130.41","4,193.63","4,125.72","-","0.44%"
"Dec 07, 2020","4,130.41","4,191.18","4,195.51","4,081.26","-","-1.45%"
"Dec 04, 2020","4,191.18","4,188.80","4,213.34","4,173.49","-","0.06%"
"Dec 03, 2020","4,188.80","4,157.12","4,188.80","4,142.26","-","0.76%"
"Dec 02, 2020","4,157.12","4,110.59","4,157.21","4,091.74","-","1.13%"
"Dec 01, 2020","4,110.59","4,032.87","4,114.11","4,032.87","-","1.93%"
"Nov 30, 2020","4,032.87","4,117.03","4,152.09","4,032.87","-","-2.04%"
"Nov 27, 2020","4,117.03","4,121.96","4,155.86","4,115.57","-","-0.12%"
"Nov 26, 2020","4,121.96","4,135.16","4,165.08","4,091.91","-","-0.32%"
"Nov 25, 2020","4,135.16","4,197.27","4,207.34","4,127.63","-","-1.48%"
"Nov 24, 2020","4,197.27","4,131.26","4,208.96","4,131.26","-","1.60%"
"Nov 23, 2020","4,131.26","4,054.53","4,131.91","4,054.53","-","1.89%"
"Nov 20, 2020","4,054.53","4,028.30","4,067.73","4,024.86","-","0.65%"
"Nov 19, 2020","4,028.30","4,108.79","4,110.32","4,018.53","-","-1.96%"
"Nov 18, 2020","4,108.79","4,053.50","4,109.19","4,053.50","-","1.36%"
"Nov 17, 2020","4,053.50","4,047.42","4,054.93","3,993.50","-","0.15%"
"Nov 16, 2020","4,047.42","4,005.35","4,097.03","4,005.35","-","1.05%"
