"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 26, 2020","19,588.36","19,759.54","19,799.32","19,560.25","-","-0.87%"
"Aug 25, 2020","19,759.54","20,069.44","20,115.65","19,711.21","-","-1.54%"
"Aug 24, 2020","20,069.44","20,199.05","20,281.88","20,040.66","-","-0.64%"
"Aug 21, 2020","20,199.05","20,132.32","20,206.72","20,097.09","-","0.33%"
"Aug 20, 2020","20,132.32","20,231.17","20,231.17","20,090.03","-","-0.49%"
"Aug 19, 2020","20,231.17","20,346.44","20,365.64","20,192.31","-","-0.57%"
"Aug 18, 2020","20,346.44","20,425.64","20,472.16","20,259.38","-","-0.39%"
"Aug 17, 2020","20,425.64","20,313.07","20,442.07","20,313.07","-","0.55%"
"Aug 14, 2020","20,313.07","20,254.02","20,356.84","20,254.02","-","0.29%"
"Aug 13, 2020","20,254.02","20,373.77","20,562.95","20,187.14","-","-0.59%"
"Aug 12, 2020","20,373.77","20,215.00","20,416.86","20,215.00","-","0.79%"
"Aug 11, 2020","20,215.00","20,134.40","20,334.50","20,134.40","-","0.40%"
"Aug 10, 2020","20,134.40","20,143.00","20,312.55","20,131.67","-","-0.04%"
"Aug 07, 2020","20,143.00","20,076.97","20,213.98","20,076.97","-","0.33%"
"Aug 06, 2020","20,076.97","19,915.00","20,076.97","19,858.44","-","0.81%"
"Aug 05, 2020","19,915.00","19,898.07","20,126.50","19,897.11","-","0.09%"
"Aug 04, 2020","19,898.07","19,974.24","20,245.30","19,890.10","-","-0.38%"
"Aug 03, 2020","19,974.24","20,271.65","20,272.27","19,969.29","-","-1.47%"
"Jul 31, 2020","20,271.65","19,994.14","20,271.65","19,994.14","-","1.39%"
"Jul 30, 2020","19,994.14","20,144.40","20,144.40","19,862.75","-","-0.75%"
"Jul 29, 2020","20,144.40","20,480.30","20,480.30","20,086.95","-","-1.64%"
"Jul 28, 2020","20,480.30","20,519.57","20,622.61","20,478.83","-","-0.19%"
"Jul 27, 2020","20,519.57","20,285.07","20,553.99","20,285.07","-","1.16%"
"Jul 24, 2020","20,285.07","20,140.18","20,346.21","20,012.75","-","0.72%"
"Jul 23, 2020","20,140.18","19,952.87","20,322.79","19,932.36","-","0.94%"
"Jul 22, 2020","19,952.87","19,694.59","20,049.07","19,603.57","-","1.31%"
"Jul 21, 2020","19,694.59","19,866.98","19,925.41","19,670.80","-","-0.87%"
"Jul 20, 2020","19,866.98","20,217.82","20,217.82","19,720.12","-","-1.74%"
"Jul 17, 2020","20,217.82","20,446.31","20,472.93","20,101.69","-","-1.12%"
"Jul 15, 2020","20,446.31","21,068.02","21,177.88","20,433.66","-","-2.95%"
"Jul 14, 2020","21,068.02","20,783.20","21,068.02","20,635.19","-","1.37%"
"Jul 13, 2020","20,783.20","20,369.25","20,868.02","20,369.25","-","2.03%"
"Jul 10, 2020","20,369.25","20,395.24","20,436.00","20,246.40","-","-0.13%"
"Jul 09, 2020","20,395.24","21,127.84","21,127.84","20,296.67","-","-3.47%"
"Jul 08, 2020","21,127.84","21,469.23","21,477.17","20,905.68","-","-1.59%"
"Jul 07, 2020","21,469.23","21,584.95","21,584.95","21,275.76","-","-0.54%"
"Jul 06, 2020","21,584.95","21,147.76","21,672.20","21,147.76","-","2.07%"
"Jul 03, 2020","21,147.76","20,996.17","21,233.30","20,976.98","-","0.72%"
"Jul 02, 2020","20,996.17","20,315.63","21,007.88","20,315.63","-","3.35%"
"Jul 01, 2020","20,315.63","19,969.02","20,356.02","19,969.02","-","1.74%"
"Jun 30, 2020","19,969.02","20,100.36","20,182.14","19,967.63","-","-0.65%"
"Jun 26, 2020","20,100.36","20,306.74","20,340.68","20,097.27","-","-1.02%"
"Jun 25, 2020","20,306.74","20,295.00","20,362.13","20,161.94","-","0.06%"
"Jun 24, 2020","20,295.00","20,274.84","20,346.22","20,146.44","-","0.10%"
"Jun 23, 2020","20,274.84","20,127.70","20,274.84","20,027.78","-","0.73%"
"Jun 22, 2020","20,127.70","20,234.55","20,308.53","20,030.76","-","-0.53%"
"Jun 19, 2020","20,234.55","20,043.16","20,266.62","20,043.16","-","0.95%"
"Jun 18, 2020","20,043.16","20,063.30","20,116.29","19,972.38","-","-0.10%"
"Jun 17, 2020","20,063.30","19,806.40","20,183.47","19,806.40","-","1.30%"
"Jun 16, 2020","19,806.40","19,587.27","19,981.20","19,587.27","-","1.12%"
"Jun 15, 2020","19,587.27","19,990.18","19,990.18","19,576.87","-","-2.02%"
"Jun 12, 2020","19,990.18","19,819.60","20,134.84","19,819.60","-","0.86%"
"Jun 11, 2020","19,819.60","20,368.61","20,369.09","19,735.90","-","-2.70%"
"Jun 10, 2020","20,368.61","20,661.01","20,756.19","20,361.25","-","-1.42%"
"Jun 09, 2020","20,661.01","20,720.72","20,756.04","20,313.13","-","-0.29%"
"Jun 08, 2020","20,720.72","20,215.54","20,766.96","20,215.54","-","2.50%"
"Jun 05, 2020","20,215.54","19,502.54","20,312.12","19,502.54","-","3.66%"
"Jun 04, 2020","19,502.54","19,238.21","19,506.90","19,070.03","-","1.37%"
"Jun 03, 2020","19,238.21","18,829.74","19,238.21","18,827.37","-","2.17%"
"Jun 02, 2020","18,829.74","18,516.11","18,907.79","18,516.11","-","1.69%"
"Jun 01, 2020","18,516.11","18,362.54","18,643.83","18,227.89","-","0.84%"
"May 29, 2020","18,362.54","18,465.50","18,476.78","18,131.37","-","-0.56%"
"May 28, 2020","18,465.50","18,947.75","18,975.16","18,430.08","-","-2.55%"
"May 27, 2020","18,947.75","18,817.22","19,018.63","18,749.52","-","0.69%"
"May 26, 2020","18,817.22","18,895.59","19,077.45","18,798.35","-","-0.41%"
"May 25, 2020","18,895.59","18,773.02","19,039.22","18,716.63","-","0.65%"
"May 22, 2020","18,773.02","18,908.36","19,006.66","18,737.26","-","-0.72%"
"May 20, 2020","18,908.36","18,755.20","18,956.04","18,755.20","-","0.82%"
"May 19, 2020","18,755.20","18,881.57","19,032.06","18,754.24","-","-0.67%"
"May 18, 2020","18,881.57","18,213.33","18,962.97","18,213.33","-","3.67%"
"May 15, 2020","18,213.33","18,306.36","18,483.43","18,163.71","-","-0.51%"
"May 14, 2020","18,306.36","18,160.38","18,433.27","17,863.66","-","0.80%"
"May 13, 2020","18,160.38","18,807.00","18,816.60","17,890.64","-","-3.44%"
"May 12, 2020","18,807.00","19,147.96","19,367.19","18,803.84","-","-1.78%"
"May 11, 2020","19,147.96","19,172.32","19,344.12","19,071.12","-","-0.13%"
"May 08, 2020","19,172.32","19,964.37","20,083.66","19,166.19","-","-3.97%"
"May 07, 2020","19,964.37","19,806.55","20,127.74","19,806.55","-","0.80%"
"May 06, 2020","19,806.55","19,615.23","19,926.79","19,615.23","-","0.98%"
"May 05, 2020","19,615.23","19,295.38","19,729.05","19,295.38","-","1.66%"
"May 04, 2020","19,295.38","19,823.33","19,838.48","19,193.67","-","-2.66%"
